Complaint ID,Product,Sub-product,Issue,Sub-issue,State,ZIP code,Date received,Date sent to company,Company,Company response,Timely response?,Consumer disputed?
1290564,Mortgage,fha mortgage,"Application, originator, mortgage broker",unknown,ma,2127,2015-03-19,2015-03-19,RBS Citizens,Closed with explanation,yes,Yes
1288848,Consumer loan,installment loan,Managing the loan or lease,unknown,oh,44241,2015-03-18,2015-03-18,"CashCall, Inc.",Closed with explanation,yes,Yes
1288304,Debt collection,payday loan,Taking/threatening an illegal action,threatened arrest/jail if do not pay,tx,77433,2015-03-18,2015-03-18,Cottonwood Financial Ltd.,Closed with explanation,yes,Yes
1289900,Debt collection,"other (phone, health club, etc.)",Disclosure verification of debt,not given enough info to verify debt,ut,84405,2015-03-18,2015-03-18,Account Liquidation Services Inc.,Closed with non-monetary relief,yes,Yes
1289844,Debt collection,unknown,Improper contact or sharing of info,contacted me after i asked not to,il,60411,2015-03-18,2015-03-18,"Municipal Collections Services, Inc.",Closed with explanation,yes,Yes
1287135,Debt collection,medical,Cont'd attempts collect debt not owed,debt is not mine,ct,6611,2015-03-17,2015-03-17,"CCS Financial Services, Inc.",Closed with explanation,yes,Yes
1287783,Credit card,unknown,Delinquent account,unknown,pa,19406,2015-03-17,2015-03-17,Amex,Closed with explanation,yes,Yes
1288199,Debt collection,unknown,Cont'd attempts collect debt not owed,debt is not mine,ia,51526,2015-03-17,2015-03-17,Synergetic Communication Inc,Closed with explanation,yes,Yes
1286421,Debt collection,medical,Cont'd attempts collect debt not owed,debt was discharged in bankruptcy,il,61032,2015-03-17,2015-03-17,Armor Systems Corporation,Closed,yes,Yes
1286314,Mortgage,fha mortgage,Credit decision / Underwriting,unknown,ne,68135,2015-03-17,2015-03-17,LoanDepot,Closed with explanation,yes,Yes
1286231,Payday loan,unknown,Can't stop charges to bank account,unknown,ks,66606,2015-03-17,2015-03-17,Speedy Cash Holdings,Closed with explanation,yes,Yes
1283784,Credit card,unknown,Delinquent account,unknown,ca,90201,2015-03-16,2015-03-16,First National Bank of Omaha,Closed with explanation,yes,Yes
1283920,Debt collection,"other (phone, health club, etc.)",Cont'd attempts collect debt not owed,debt was paid,ga,30093,2015-03-16,2015-03-16,"Pinnacle Recovery, Inc.",Closed with explanation,yes,Yes
1284333,Credit reporting,unknown,Incorrect information on credit report,personal information,mi,48237,2015-03-16,2015-03-16,TransUnion,Closed with non-monetary relief,yes,Yes
1283995,Debt collection,medical,Improper contact or sharing of info,talked to a third party about my debt,wa,98115,2015-03-16,2015-03-16,Renton Collections Inc.,Closed with explanation,yes,Yes
1284412,Debt collection,"other (phone, health club, etc.)",Communication tactics,threatened to take legal action,nv,89148,2015-03-16,2015-03-16,"First Service Residential, Nevada, LLC",Closed with explanation,yes,Yes
1286053,Bank account or service,checking account,Deposits and withdrawals,unknown,ca,95624,2015-03-16,2015-03-16,Wells Fargo,Closed with explanation,yes,Yes
1286076,Debt collection,credit card,Cont'd attempts collect debt not owed,debt is not mine,tx,78501,2015-03-16,2015-03-17,"Asta Funding, Inc",Closed with explanation,yes,Yes
1283600,Debt collection,unknown,Disclosure verification of debt,not given enough info to verify debt,oh,45895,2015-03-15,2015-03-15,"Crown Asset Management, LLC",Closed,yes,Yes
1283457,Credit card,unknown,Delinquent account,unknown,pa,19124,2015-03-15,2015-03-16,Discover,Closed with explanation,yes,Yes
1283196,Mortgage,home equity loan or line of credit,"Loan servicing, payments, escrow account",unknown,me,4042,2015-03-14,2015-03-14,"Green Tree Servicing, LLC",Closed with explanation,yes,Yes
1283295,Mortgage,fha mortgage,"Loan servicing, payments, escrow account",unknown,pa,19543,2015-03-14,2015-03-14,Wells Fargo,Closed with explanation,yes,Yes
1283359,Debt collection,auto,Improper contact or sharing of info,talked to a third party about my debt,fl,32583,2015-03-14,2015-03-14,"Nicholas Financial, Inc.",Closed with explanation,yes,Yes
